RK-2020,Team,Total Points,RK-2021,Team,Total Points,Change from Nov 2020 to Nov 2021,Improvement Ranking,Improvement Placement,,Country,World Cup Interest: (12/1/20 - 12/1/21)
72,Canada,1332,40,Canada,1462.32,130.32,1,32,,Afghanistan,23
10,Italy,1625,6,Italy,1740.77,115.77,2,4,,Åland Islands,37
7,Argentina,1642,5,Argentina,1750.51,108.51,3,2,,Albania,25
22,USA,1545,12,USA,1647.14,102.14,4,10,,Algeria,53
67,Saudi Arabia,1353,48,Saudi Arabia,1441.17,88.17,5,19,,American Samoa,6
4,England,1670,4,England,1755.52,85.52,6,0,,Andorra,34
3,Brazil,1743,2,Brazil,1826.35,83.35,7,1,,Angola,43
78,Panama,1311,63,Panama,1379.34,68.34,8,15,,Anguilla,40
29,IR Iran,1496,21,IR Iran,1557.58,61.58,9,8,,Antigua & Barbuda,21
134,Equatorial Guinea,1097,114,Equatorial Guinea,1156.78,59.78,10,20,,Argentina,65
6,Spain,1645,7,Spain,1704.75,59.75,11,-1,,Armenia,33
16,Switzerland,1586,13,Switzerland,1642.83,56.83,12,3,,Aruba,37
42,Czech Republic,1456,31,Czech Republic,1510.42,54.42,13,11,,Australia,12
30,Serbia,1495,23,Serbia,1547.38,52.38,14,7,,Austria,50
35,Morocco,1474,28,Morocco,1525.5,51.5,15,7,,Azerbaijan,15
1,Belgium,1780,1,Belgium,1828.45,48.45,16,0,,Bahamas,7
14,Netherlands,1609,10,Netherlands,1653.73,44.73,17,4,,Bahrain,28
59,Qatar,1387,51,Qatar,1431.01,44.01,18,8,,Bangladesh,54
38,Korea Republic,1465,33,Korea Republic,1507.24,42.24,19,5,,Barbados,15
12,Denmark,1614,9,Denmark,1654.54,40.54,20,3,,Belarus,13
56,Ecuador,1409,46,Ecuador,1448.74,39.74,21,10,,Belgium,37
25,Peru,1512,22,Peru,1551.15,39.15,22,3,,Belize,27
13,Germany,1610,11,Germany,1648.33,38.33,23,2,,Benin,60
48,Scotland,1436,38,Scotland,1471.82,35.82,24,10,,Bermuda,19
61,Côte d'Ivoire,1384,56,Côte d'Ivoire,1417.86,33.86,25,5,,Bhutan,43
135,Tanzania,1085,131,Tanzania,1118.76,33.76,26,4,,Bolivia,42
81,Cabo Verde,1306,73,Cabo Verde,1339.48,33.48,27,8,,Bosnia & Herzegovina,24
39,Russia,1461,34,Russia,1493.42,32.42,28,5,,Botswana,23
2,France,1755,3,France,1786.15,31.15,29,-1,,Brazil,37
120,Guinea-Bissau,1146,106,Guinea-Bissau,1177.14,31.14,30,14,,British Virgin Islands,16
20,Sweden,1558,18,Sweden,1588.26,30.26,31,2,,Brunei,21
183,Montserrat,921,178,Montserrat,950.71,29.71,32,5,,Bulgaria,17
27,Japan,1502,26,Japan,1531.53,29.53,33,1,,Burkina Faso,60
41,Australia,1457,35,Australia,1484.88,27.88,34,6,,Burundi,32
87,Israel,1279,79,Israel,1306.7,27.7,35,8,,Cambodia,15
131,Guatemala,1111,122,Guatemala,1138.4,27.4,36,9,,Cameroon,68
74,United Arab Emirates,1326,70,United Arab Emirates,1350.41,24.41,37,4,,Canada,14
147,Ethiopia,1064,137,Ethiopia,1087.89,23.89,38,10,,Cape Verde,36
179,Puerto Rico,941,173,Puerto Rico,962.77,21.77,39,6,,Caribbean Netherlands,28
31,Algeria,1488,32,Algeria,1508.54,20.54,40,-1,,Cayman Islands,23
57,Mali,1408,53,Mali,1427.98,19.98,41,4,,Central African Republic,69
128,Togo,1115,125,Togo,1133.24,18.24,42,3,,Chad,31
136,Latvia,1082,134,Latvia,1100.03,18.03,43,2,,Chile,27
97,Bahrain,1238,90,Bahrain,1255.75,17.75,44,7,,China,11
49,Egypt,1432,45,Egypt,1449.51,17.51,45,4,,Colombia,32
71,South Africa,1341,68,South Africa,1358.24,17.24,46,3,,Comoros,62
79,Bolivia,1307,77,Bolivia,1324.21,17.21,47,2,,Congo - Brazzaville,54
173,Indonesia,964,166,Indonesia,981.18,17.18,48,7,,Congo - Kinshasa,75
118,New Zealand,1149,110,New Zealand,1165.81,16.81,49,8,,Costa Rica,30
18,Wales,1562,19,Wales,1578.01,16.01,50,-1,,Côte d’Ivoire,56
119,Namibia,1147,112,Namibia,1162.93,15.93,51,7,,Croatia,31
157,Gambia,1034,151,Gambia,1049.74,15.74,52,6,,Cuba,52
104,Kenya,1187,102,Kenya,1202.26,15.26,53,2,,Curaçao,41
66,Albania,1360,66,Albania,1374.98,14.98,54,0,,Cyprus,20
75,China PR,1323,74,China PR,1337.33,14.33,55,1,,Czechia,9
153,Eswatini,1040,146,Eswatini,1054.14,14.14,56,7,,Denmark,41
180,Cuba,936,179,Cuba,948.96,12.96,57,1,,Djibouti,55
127,Sudan,1124,124,Sudan,1135.89,11.89,58,3,,Dominica,32
152,Liberia,1047,144,Liberia,1058.28,11.28,59,8,,Dominican Republic,11
190,Mongolia,906,184,Mongolia,916.68,10.68,60,6,,Ecuador,32
132,Turkmenistan,1107,133,Turkmenistan,1117.6,10.6,61,-1,,Egypt,47
51,Costa Rica,1427,49,Costa Rica,1437.43,10.43,62,2,,El Salvador,36
159,Dominican Republic,1019,156,Dominican Republic,1029.42,10.42,63,3,,Equatorial Guinea,81
121,Tajikistan,1143,115,Tajikistan,1152.56,9.56,64,6,,Estonia,12
50,Cameroon,1428,50,Cameroon,1437.35,9.35,65,0,,Eswatini,59
99,Armenia,1233,92,Armenia,1242.24,9.24,66,7,,Ethiopia,22
26,Tunisia,1503,29,Tunisia,1512.13,9.13,67,-3,,Falkland Islands (Islas Malvinas),70
116,Sierra Leone,1165,108,Sierra Leone,1174.12,9.12,68,8,,Faroe Islands,54
53,Greece,1413,55,Greece,1421.99,8.99,69,-2,,Fiji,24
95,Jordan,1244,91,Jordan,1252.95,8.95,70,4,,Finland,15
117,Kosovo,1155,111,Kosovo,1163.05,8.05,71,6,,France,26
176,Malta,951,175,Malta,958.95,7.95,72,1,,French Guiana,14
102,Palestine,1204,98,Palestine,1211.32,7.32,73,4,,French Polynesia,13
149,Nicaragua,1055,143,Nicaragua,1062.21,7.21,74,6,,Gabon,51
24,Ukraine,1528,25,Ukraine,1535.08,7.08,75,-1,,Gambia,38
103,Trinidad and Tobago,1201,100,Trinidad and Tobago,1207.94,6.94,76,3,,Georgia,15
9,Mexico,1632,14,Mexico,1638.76,6.76,77,-5,,Germany,45
58,Burkina Faso,1391,60,Burkina Faso,1397.64,6.64,78,-2,,Ghana,37
173,Cambodia,964,170,Cambodia,970.42,6.42,79,3,,Gibraltar,32
15,Colombia,1601,16,Colombia,1607.15,6.15,80,-1,,Greece,12
130,Comoros,1112,132,Comoros,1117.65,5.65,81,-2,,Greenland,40
40,Hungary,1460,39,Hungary,1465.62,5.62,82,1,,Grenada,14
44,Norway,1450,41,Norway,1455.43,5.43,83,3,,Guadeloupe,19
65,North Macedonia,1362,67,North Macedonia,1367.23,5.23,84,-2,,Guam,3
52,Ghana,1424,52,Ghana,1428.97,4.97,85,0,,Guatemala,27
35,Nigeria,1474,36,Nigeria,1478.78,4.78,86,-1,,Guernsey,29
70,El Salvador,1346,69,El Salvador,1350.63,4.63,87,1,,Guinea,60
141,Suriname,1073,139,Suriname,1077.57,4.57,88,2,,Guinea-Bissau,79
171,Nepal,968,169,Nepal,972.45,4.45,89,2,,Guyana,31
82,Oman,1303,78,Oman,1307.09,4.09,90,4,,Haiti,100
126,Antigua and Barbuda,1127,128,Antigua and Barbuda,1131.07,4.07,91,-2,,Honduras,30
148,Kuwait,1060,142,Kuwait,1064.02,4.02,92,6,,Hong Kong,10
140,St. Kitts and Nevis,1074,138,St. Kitts and Nevis,1077.76,3.76,93,2,,Hungary,28
11,Croatia,1617,15,Croatia,1620.74,3.74,94,-4,,Iceland,22
20,Senegal,1558,20,Senegal,1561.68,3.68,95,0,,India,21
202,Seychelles,866,197,Seychelles,869.51,3.51,96,5,,Indonesia,16
89,Georgia,1267,86,Georgia,1269.24,2.24,97,3,,Iran,27
98,Luxembourg,1235,93,Luxembourg,1236.45,1.45,98,5,,Iraq,50
54,Finland,1411,58,Finland,1411.77,0.77,99,-4,,Ireland,29
175,St. Lucia,953,177,St. Lucia,953.45,0.45,100,-2,,Isle of Man,29
197,Timor-Leste,879,194,Timor-Leste,879.43,0.43,101,3,,Israel,15
192,American Samoa,900,190,American Samoa,900.27,0.27,102,2,,Italy,39
164,Fiji,996,161,Fiji,996.27,0.27,103,3,,Jamaica,31
161,Tahiti,1014,159,Tahiti,1014.27,0.27,104,2,,Japan,6
194,Samoa,894,193,Samoa,894.26,0.26,105,1,,Jersey,29
156,New Caledonia,1035,153,New Caledonia,1035.12,0.12,106,3,,Jordan,31
182,Macau,922,182,Macau,922.1,0.1,107,0,,Kazakhstan,18
188,Laos,912,185,Laos,912.07,0.07,108,3,,Kenya,27
189,Bhutan,911,186,Bhutan,910.96,-0.04,109,3,,Kiribati,34
115,Korea DPR,1170,109,Korea DPR,1169.96,-0.04,110,6,,Kosovo,19
172,Mauritius,965,172,Mauritius,964.94,-0.06,111,0,,Kuwait,34
191,Brunei Darussalam,904,188,Brunei Darussalam,903.9,-0.1,112,3,,Kyrgyzstan,22
200,Pakistan,867,198,Pakistan,866.81,-0.19,113,2,,Laos,32
203,Tonga,862,199,Tonga,861.81,-0.19,114,4,,Latvia,13
141,Solomon Islands,1073,141,Solomon Islands,1072.78,-0.22,115,0,,Lebanon,33
164,Vanuatu,996,163,Vanuatu,995.62,-0.38,116,1,,Lesotho,27
205,Eritrea,856,202,Eritrea,855.56,-0.44,117,3,,Liberia,49
166,Papua New Guinea,991,164,Papua New Guinea,990.55,-0.45,118,2,,Libya,40
169,Bermuda,983,165,Bermuda,982.43,-0.57,119,4,,Liechtenstein,51
122,Kazakhstan,1142,119,Kazakhstan,1140.71,-1.29,120,3,,Lithuania,8
90,Zambia,1266,88,Zambia,1264.64,-1.36,121,2,,Luxembourg,48
5,Portugal,1662,8,Portugal,1660.25,-1.75,122,-3,,Macao,17
138,Burundi,1078,140,Burundi,1075.82,-2.18,123,-2,,Madagascar,34
150,Afghanistan,1052,150,Afghanistan,1049.77,-2.23,124,0,,Malawi,42
125,Angola,1134,127,Angola,1131.72,-2.28,125,-2,,Malaysia,18
185,Dominica,919,183,Dominica,916.72,-2.28,126,2,,Maldives,36
109,Estonia,1180,107,Estonia,1176.5,-3.5,127,2,,Mali,60
62,Slovenia,1379,65,Slovenia,1375.42,-3.58,128,-3,,Malta,46
133,Rwanda,1099,135,Rwanda,1095.34,-3.66,129,-2,,Martinique,20
124,Philippines,1136,126,Philippines,1131.93,-4.07,130,-2,,Mauritania,54
104,India,1187,104,India,1182.75,-4.25,131,0,,Mauritius,23
68,Bulgaria,1350,71,Bulgaria,1345.47,-4.53,132,-3,,Mayotte,20
153,Malaysia,1040,154,Malaysia,1034.87,-5.13,133,-1,,Mexico,19
197,Somalia,879,195,Somalia,873.71,-5.29,134,2,,Micronesia,24
170,Belize,974,171,Belize,967.42,-6.58,135,-1,,Moldova,12
200,Aruba,867,200,Aruba,859.97,-7.03,136,0,,Mongolia,12
85,Uzbekistan,1283,84,Uzbekistan,1274.58,-8.42,137,1,,Montenegro,17
206,Sri Lanka,853,204,Sri Lanka,842.8,-10.2,138,2,,Morocco,27
60,Congo DR,1386,64,Congo DR,1375.64,-10.36,139,-4,,Mozambique,42
187,São Tomé and Príncipe,914,189,São Tomé and Príncipe,903.31,-10.69,140,-2,,Myanmar (Burma),10
96,Kyrgyz Republic,1240,96,Kyrgyz Republic,1228.69,-11.31,141,0,,Namibia,34
69,Iraq,1347,75,Iraq,1335.58,-11.42,142,-6,,Nepal,48
42,Republic of Ireland,1456,47,Republic of Ireland,1444.29,-11.71,143,-5,,Netherlands,37
178,Chad,947,180,Chad,935,-12,144,-2,,New Caledonia,22
184,Bangladesh,920,187,Bangladesh,907.83,-12.17,145,-3,,New Zealand,10
123,Malawi,1140,129,Malawi,1127.21,-12.79,146,-6,,Nicaragua,24
37,Romania,1466,44,Romania,1453.18,-12.82,147,-7,,Niger,45
162,Barbados,1009,162,Barbados,995.94,-13.06,148,0,,Nigeria,29
32,Turkey,1487,37,Turkey,1472.72,-14.28,149,-5,,North Macedonia,29
143,Lesotho,1072,145,Lesotho,1057.62,-14.38,150,-2,,Northern Mariana Islands,5
146,Botswana,1066,149,Botswana,1051.59,-14.41,151,-3,,Norway,24
76,Curaçao,1313,80,Curaçao,1298.39,-14.61,152,-4,,Oman,45
113,Niger,1173,113,Niger,1158.39,-14.61,153,0,,Pakistan,31
45,Northern Ireland,1440,54,Northern Ireland,1424.97,-15.03,154,-9,,Palau,11
155,Maldives,1038,157,Maldives,1021.58,-16.42,155,-2,,Palestine,16
101,Mauritania,1207,103,Mauritania,1190.23,-16.77,156,-2,,Panama,38
84,Haiti,1285,87,Haiti,1268.05,-16.95,157,-3,,Papua New Guinea,25
55,Bosnia and Herzegovina,1410,61,Bosnia and Herzegovina,1392.56,-17.44,158,-6,,Paraguay,38
151,Andorra,1048,155,Andorra,1030.28,-17.72,159,-4,,Peru,32
163,South Sudan,998,167,South Sudan,980.25,-17.75,160,-4,,Philippines,2
86,Gabon,1280,89,Gabon,1262,-18,161,-3,,Poland,28
143,Hong Kong,1072,147,Hong Kong,1053.39,-18.61,162,-4,,Portugal,30
23,Austria,1531,30,Austria,1511.56,-19.44,163,-7,,Puerto Rico,7
83,Benin,1302,83,Benin,1282.53,-19.47,164,0,,Qatar,60
34,Paraguay,1476,43,Paraguay,1454.52,-21.48,165,-9,,Réunion,17
196,Bahamas,880,201,Bahamas,858.5,-21.5,166,-5,,Romania,15
177,Moldova,950,181,Moldova,928.35,-21.65,167,-4,,Russia,16
79,Uganda,1307,82,Uganda,1285.28,-21.72,168,-3,,Rwanda,32
203,Turks and Caicos Islands,862,205,Turks and Caicos Islands,839.84,-22.16,169,-2,,Samoa,10
129,Lithuania,1114,136,Lithuania,1091.77,-22.23,170,-7,,San Marino,35
185,Djibouti,919,192,Djibouti,896.62,-22.38,171,-7,,São Tomé & Príncipe,42
158,Singapore,1020,160,Singapore,997.42,-22.58,172,-2,,Saudi Arabia,27
33,Slovakia,1478,42,Slovakia,1455.36,-22.64,173,-9,,Senegal,62
193,Cayman Islands,897,196,Cayman Islands,873.64,-23.36,174,-3,,Serbia,23
181,Liechtenstein,924,191,Liechtenstein,899.52,-24.48,175,-10,,Seychelles,54
145,Yemen,1071,152,Yemen,1046.26,-24.74,176,-7,,Sierra Leone,46
47,Jamaica,1437,57,Jamaica,1412.13,-24.87,177,-10,,Singapore,16
168,St. Vincent and the Grenadines,986,174,St. Vincent and the Grenadines,960.71,-25.29,178,-6,,Sint Maarten,29
17,Chile,1567,24,Chile,1541.33,-25.67,179,-7,,Slovakia,13
111,Libya,1178,116,Libya,1151.06,-26.94,180,-5,,Slovenia,12
63,Montenegro,1370,72,Montenegro,1342.89,-27.11,181,-9,,Solomon Islands,70
207,US Virgin Islands,844,207,US Virgin Islands,816.13,-27.87,182,0,,Somalia,27
19,Poland,1559,27,Poland,1530.62,-28.38,183,-8,,South Africa,22
137,Myanmar,1081,148,Myanmar,1052.57,-28.43,184,-11,,South Korea,48
209,Anguilla,821,209,Anguilla,792.34,-28.66,185,0,,South Sudan,58
208,British Virgin Islands,842,208,British Virgin Islands,812.94,-29.06,186,0,,Spain,35
167,Guyana,988,176,Guyana,958.87,-29.13,187,-9,,Sri Lanka,21
92,Lebanon,1263,94,Lebanon,1233.76,-29.24,188,-2,,St. Barthélemy,38
111,Thailand,1178,118,Thailand,1148.63,-29.37,189,-7,,St. Helena,17
210,San Marino,810,210,San Marino,780.33,-29.67,190,0,,St. Kitts & Nevis,20
73,Guinea,1329,81,Guinea,1298.32,-30.68,191,-8,,St. Lucia,23
106,Mozambique,1185,117,Mozambique,1151,-34,192,-11,,St. Martin,38
195,Gibraltar,888,203,Gibraltar,853.6,-34.4,193,-8,,St. Vincent & Grenadines,15
199,Guam,873,206,Guam,838.33,-34.67,194,-7,,Sudan,29
64,Honduras,1367,76,Honduras,1332.16,-34.84,195,-12,,Suriname,50
88,Belarus,1269,95,Belarus,1233.43,-35.57,196,-7,,Svalbard & Jan Mayen,34
160,Grenada,1015,168,Grenada,974.03,-40.97,197,-8,,Sweden,53
109,Azerbaijan,1180,120,Azerbaijan,1139.02,-40.98,198,-11,,Switzerland,57
8,Uruguay,1639,17,Uruguay,1596.66,-42.34,199,-9,,Syria,48
108,Zimbabwe,1181,121,Zimbabwe,1138.44,-42.56,200,-13,,Taiwan,5
91,Congo,1264,97,Congo,1221.4,-42.6,201,-6,,Tajikistan,40
76,Syria,1313,85,Syria,1269.96,-43.04,202,-9,,Tanzania,24
114,Central African Republic,1171,130,Central African Republic,1127.2,-43.8,203,-16,,Thailand,13
100,Cyprus,1224,105,Cyprus,1178.65,-45.35,204,-5,,Timor-Leste,100
107,Faroe Islands,1183,123,Faroe Islands,1136.99,-46.01,205,-16,,Togo,49
93,Vietnam,1258,99,Vietnam,1209.22,-48.78,206,-6,,Trinidad & Tobago,26
94,Madagascar,1257,101,Madagascar,1205.61,-51.39,207,-7,,Tunisia,30
46,Iceland,1438,62,Iceland,1385.21,-52.79,208,-16,,Turkey,14
138,Chinese Taipei,1078,158,Chinese Taipei,1017.78,-60.22,209,-20,,Turkmenistan,44
28,Venezuela,1501,59,Venezuela,1409.14,-91.86,210,-31,,Turks & Caicos Islands,13
,,,,,,,,,,U.S. Virgin Islands,8
,,,,,,,,,,Uganda,49
,,,,,,,,,,Ukraine,20
,,,,,,,,,,United Arab Emirates,29
,,,,,,,,,,United Kingdom,26
,,,,,,,,,,United States,7
,,,,,,,,,,Uruguay,41
,,,,,,,,,,Uzbekistan,22
,,,,,,,,,,Vanuatu,35
,,,,,,,,,,Venezuela,25
,,,,,,,,,,Vietnam,83
,,,,,,,,,,Western Sahara,35
,,,,,,,,,,Yemen,34
,,,,,,,,,,Zambia,44
,,,,,,,,,,Zimbabwe,41