Country,World Cup Interest: (12/1/20 - 12/1/21)
Afghanistan,23
Åland Islands,37
Albania,25
Algeria,53
American Samoa,6
Andorra,34
Angola,43
Anguilla,40
Antigua & Barbuda,21
Argentina,65
Armenia,33
Aruba,37
Australia,12
Austria,50
Azerbaijan,15
Bahamas,7
Bahrain,28
Bangladesh,54
Barbados,15
Belarus,13
Belgium,37
Belize,27
Benin,60
Bermuda,19
Bhutan,43
Bolivia,42
Bosnia & Herzegovina,24
Botswana,23
Brazil,37
British Virgin Islands,16
Brunei,21
Bulgaria,17
Burkina Faso,60
Burundi,32
Cambodia,15
Cameroon,68
Canada,14
Cape Verde,36
Caribbean Netherlands,28
Cayman Islands,23
Central African Republic,69
Chad,31
Chile,27
China,11
Colombia,32
Comoros,62
Congo - Brazzaville,54
Congo - Kinshasa,75
Costa Rica,30
Côte d’Ivoire,56
Croatia,31
Cuba,52
Curaçao,41
Cyprus,20
Czechia,9
Denmark,41
Djibouti,55
Dominica,32
Dominican Republic,11
Ecuador,32
Egypt,47
El Salvador,36
Equatorial Guinea,81
Estonia,12
Eswatini,59
Ethiopia,22
Falkland Islands (Islas Malvinas),70
Faroe Islands,54
Fiji,24
Finland,15
France,26
French Guiana,14
French Polynesia,13
Gabon,51
Gambia,38
Georgia,15
Germany,45
Ghana,37
Gibraltar,32
Greece,12
Greenland,40
Grenada,14
Guadeloupe,19
Guam,3
Guatemala,27
Guernsey,29
Guinea,60
Guinea-Bissau,79
Guyana,31
Haiti,100
Honduras,30
Hong Kong,10
Hungary,28
Iceland,22
India,21
Indonesia,16
Iran,27
Iraq,50
Ireland,29
Isle of Man,29
Israel,15
Italy,39
Jamaica,31
Japan,6
Jersey,29
Jordan,31
Kazakhstan,18
Kenya,27
Kiribati,34
Kosovo,19
Kuwait,34
Kyrgyzstan,22
Laos,32
Latvia,13
Lebanon,33
Lesotho,27
Liberia,49
Libya,40
Liechtenstein,51
Lithuania,8
Luxembourg,48
Macao,17
Madagascar,34
Malawi,42
Malaysia,18
Maldives,36
Mali,60
Malta,46
Martinique,20
Mauritania,54
Mauritius,23
Mayotte,20
Mexico,19
Micronesia,24
Moldova,12
Mongolia,12
Montenegro,17
Morocco,27
Mozambique,42
Myanmar (Burma),10
Namibia,34
Nepal,48
Netherlands,37
New Caledonia,22
New Zealand,10
Nicaragua,24
Niger,45
Nigeria,29
North Macedonia,29
Northern Mariana Islands,5
Norway,24
Oman,45
Pakistan,31
Palau,11
Palestine,16
Panama,38
Papua New Guinea,25
Paraguay,38
Peru,32
Philippines,2
Poland,28
Portugal,30
Puerto Rico,7
Qatar,60
Réunion,17
Romania,15
Russia,16
Rwanda,32
Samoa,10
San Marino,35
São Tomé & Príncipe,42
Saudi Arabia,27
Senegal,62
Serbia,23
Seychelles,54
Sierra Leone,46
Singapore,16
Sint Maarten,29
Slovakia,13
Slovenia,12
Solomon Islands,70
Somalia,27
South Africa,22
South Korea,48
South Sudan,58
Spain,35
Sri Lanka,21
St. Barthélemy,38
St. Helena,17
St. Kitts & Nevis,20
St. Lucia,23
St. Martin,38
St. Vincent & Grenadines,15
Sudan,29
Suriname,50
Svalbard & Jan Mayen,34
Sweden,53
Switzerland,57
Syria,48
Taiwan,5
Tajikistan,40
Tanzania,24
Thailand,13
Timor-Leste,100
Togo,49
Trinidad & Tobago,26
Tunisia,30
Turkey,14
Turkmenistan,44
Turks & Caicos Islands,13
U.S. Virgin Islands,8
Uganda,49
Ukraine,20
United Arab Emirates,29
United Kingdom,26
United States,7
Uruguay,41
Uzbekistan,22
Vanuatu,35
Venezuela,25
Vietnam,83
Western Sahara,35
Yemen,34
Zambia,44
Zimbabwe,41